,카테고리,상품명,상품가격
73,생수,스파클생수 500ml 100병 (도착보장/무라벨생수),"21,510원"
74,핸드타월,숨 100% 천연펄프 무형광 핸드타올 5000매 키친타올 페이퍼타올 국내제조 보라색박스,"21,900원"
75,섬유유연제,(한정판) 고농축피죤 아이스썸머 1.6L 3+1개 총 4개,"15,900원"
76,샴푸/린스,미쟝센 로얄젤리 단백질 샴푸 1000ml 3개,"18,300원"
77,캡슐커피,스타벅스 네스프레소 호환 캡슐 9종/맛선택/총100캡슐,"60,980원"
78,자동차악세서리,(1+1행사)그라스 블루 차량용방향제 100ml 향 4종택1 추가옵션 선택가능(피치버즈 복숭아향),"24,900원"
79,물티슈,브라운 헤리티지 아기 물티슈 70매 캡형 10팩+10팩,"33,300원"
80,국내기저귀,하기스 네이처메이드 맥스드라이 2팩 외 기저귀 특가 생필품데이행사(네이처썸머체감가48040원),"68,000원"
81,생수,스파클생수 2L 30병 (도착보장/무라벨생수),"18,190원"
82,아이스크림,메로나 20개 +비비빅(팥) 20개 등 인기아이스크림 바 40개 골라담기,"22,550원"
83,백미,농부의아침 쌀10kg 백미 상등급 밥맛 좋은 쌀,"22,950원"
84,유아동티셔츠,(20%쿠폰+10%카드할인) 휠라키즈 SS 단독특가 아동화/반팔티/샌들/반바지 BEST 50종 본사직영 I 무료배송,"18,240원"
85,식기세척기세제,에코버 올인원 식기세척기세제 만다린향 22입 2개+가위+틴케이스,"28,900원"
86,화장지,깨끗한나라 순수시그니처 화장지 브라운 30m 30롤 2팩,"36,300원"
87,커피,스타벅스 e카드 5만원 교환권,"50,000원"
88,단행본기타,출판사 연합 경제 도서 골라담기,"17,000원"
89,페도라/벙거지,(15%+5% 6970원) 1+1특가 버킷햇 자외선차단 모자 여행 여성 레터링 볼캡 무지 모자 여름 썬캡 모자 모음,"8,700원"
90,유아,(할인특가) 훈민출판사-엄마랑 벽그림 병풍 (6장 /8장) : 선택구매,"59,800원"
91,어린이/청소년,아울북/ 비밀요원 레너드 시리즈 선택구매,"120,000원"
92,물티슈,베베앙 시그니처 물티슈 100매 10팩 대용량 캡형 아기물티슈 쿨썸머 할인특가 상품 (임박예상),"12,680원"
93,기타해조류,곱창김 도시락김 27봉 _명품 곱창김/광천김 본사/8월 13일 광천데이 단독,"11,200원"
94,여아원피스,15+5%쿠폰 젤리스푼 핫썸머 바캉스룩 파이널특가 가을신상/디즈니/상하복/티셔츠/원피스/레깅스/무료배송,"8,200원"
95,부츠컷/와이드핏,(20%쿠폰) 여름 단독가 7900원~ 텐셀진/데님/슬랙스/청바지/반바지/스판/빅사이즈,"12,400원"
96,복숭아,(신선집중)(5%+10%)의성 햇살어린 황도 복숭아 4KG 대(14-16과) / 단황도네오 조생 황귀비,"24,500원"
97,유아동상하복세트,(광주신세계)아디다스키즈 유아 키즈 트레이닝복세트 트랙수트세트 상하복세트 맨투맨세트 간절기 균일...,"37,170원"
98,유아우유/두유,상하목장 유기농 멸균우유 1.25DL 48팩 + 컵홀더 증정 ( 한정수량 ),"40,600원"
99,우유,멸균우유 200ml 24입+24입 (2박스),"27,990원"
100,세탁세제,퍼실 디스크 컬러 38개입 x4개 캡슐형 세탁세제,"80,000원"
101,여아점퍼,네파키즈(아동) 레이어드 코튼 티셔츠 2팩세트 KJE5300,"15,000원"
102,물티슈,75g 고평량 시그니앙 오가든 20팩 캡형 77매 엠보 아기물티슈,"27,500원"
103,커피음료,레쓰비 마일드 캔커피 175ml x 60캔 /커피음료/업소용음료/업소용커피,"28,900원"
104,복숭아,(신선집중)(5%+10%)의성 햇살어린 황도 복숭아 4KG 대(14-16과) / 단황도네오 조생 황귀비,"24,500원"
105,냉동/즉석식품,햇반 210g 24입 (1박스),"28,350원"
106,유아,(봄이아트북스) 공룡 대발이 생활동화 만나요/배워요,"126,000원"
107,양문형냉장고,비스포크 냉장고 RF90DG91114E 4도어 1등급 푸드쇼케이스 900L 대용량 혜택가159만+리뷰이벤트,"1,749,000원"
